initcode,주제분류,문화시설명,주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스,소속구
M00001,박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로174길 27,37.62017,127.07694,02-3399-2900,,https://museum.seoul.go.kr/sulm/index.do,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101547&thumb=Y,,"<span style='font-size: 12pt;'>2019년 7월에 개관한 서울생활사박물관은 과거 서울북부지방법원과 서울북부지방검찰청이 있던 북부법조단지였습니다.</span><br><span style='font-size: 12pt;'>  2010년, 북부법조단지가 이전함에 따라 해당공간이 유휴지가 됐습니다. 이에 서울시는 도시재생 사업의 일환으로,&nbsp;</span><span style='font-size: 12pt;'>구 북부법조단지 공간을 리모델링 하였습니다.</span><br><span style='font-size: 12pt;'>  청사 이전으로 인한 유휴 공간을 활용함과 동시에 북부법조단지라는 사법적 권위를 상징하는 공간을 시민들에게 돌려주고,</span><br><span style='font-size: 12pt;'>  시민이 중심이 되어 함께 전시를 만들고 교육프로그램을 운영할 것입니다.</span><br><span style='font-size: 12pt;'>  기억과 감성을 담은 근현대 생활사 박물관으로써, 시민들이 소통하고 교감하는 동북부 복합문화공간의 중심이 될 것입니다.</span>",무료,,,,,,,,노원구
M00002,박물관/기념관,한성백제박물관,서울 송파구 위례성대로 71,37.51551,127.12118,02-2152-5800,,baekjemuseum.seoul.go.kr,"평일: 오전 9시~오후 9시, 토,일,공휴일: 오전 9시~오후 7시(단, 11~2월: 오전 9시~오후 6시)",무료,"매주 월요일, 1월 1일, 단, 월요일이 공휴일인 경우 휴관하지 않음",2012년 04월 30일,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4cdc3af32d864221b0c5f90cfbcf332f&thumb=Y,"자가차량 이용시 잠실, 풍납동 방면에서 오실 때 (남2문앞에서 유턴 후 250m에서 진입)  둔촌동, 오금동 방면에서 오실 때 (남2문에서 남3문방향으로 250m에서 진입)","<p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>한성백제박물관은 ‘2천년 역사도시 서울’의 고대 문화를 복원?조명하는 시립박물관이며, 2012년 4월 개관하였다. 서울을 5백년간 왕도로 삼았던 백제를 중심으로 구석기시대부터 통일신라시대까지 서울지역과 한강유역의 역사？문화를 다루고 있으며, 5개 부서가 전시, 유물수집, 교육?문화행사, 발굴조사, 학술회의 및 학술서 발간 등의 업무를 수행하고 있다.</span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>박물관 건물은 백제의 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>왕</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>성이었던 풍납동토성 및 몽촌토성의 이미지를 반영하면서 주변 환경과 조화를 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>이루어</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 2012년 한국건축문화대상 우수상, 서울시 건축상 최우수상 등을 수상하였다.&nbsp;&nbsp; </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>전시실은 상설전시실과 특별전시실로 나</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>뉘는데,</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 상설전시는 로비 및 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>제1전시실(선사), 제2전시실(백제), 제3전시실(고구려？신라)로 구분하며</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>, 특별전시는 1년에 4회 계절별로 개최한다.</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 로</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>비에는 너비 43m, 높이 11m 크기의 풍납동토성 성벽 자름면을 전시하여 판축법(版築法), 부엽법(敷葉法) 등 성벽 축조 공법을 소개하고 있다. </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>이밖에 별도로 운영하는 &lt;백제 3D 여행관&gt;에서는 “유린, 백제로 가다？칠지도를 완성하라-”, “담지의 모험- 해상왕국 백제-” 등 2편의 입체영상을 교대로 상영하여 어린이들의 호응을 얻고 있다. </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>교육동에서는 어린이?청소년?가족 대상 체험교육을 운영하며, </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>전</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>통놀이, 영화 상영, 음악회 등 다양한 문화행사를 정기적으로 개최한다. 학술행사는 3백석 규모의 강당에서 연중 개최한다. 박물관 소속 고고학 발굴조사단이 있어서 백제의 왕성구역인 몽촌토성과 왕릉구역인 석촌동고분군을 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>연중</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 발굴조사</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>하며 현장을 시민에게 공개</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>하고 있다. </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>몽촌토성에 위치한 백제집자리전시관과 어린이전문교육기관인 몽촌역사관을 분관으로 운영하고 있다.</span><span style='font-size: 12pt;'>&nbsp;</span></p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-size: 12pt;'>&nbsp;</span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>한성백제박물관 누리집: http://baekjemuseum.seoul.go.kr</span></p>",무료,,,,,,,,송파구
M00003,박물관/기념관,허준박물관,서울특별시 강서구 허준로 87,37.56787,126.85103,02) 3661-8686,,http://www.heojun.seoul.kr/,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63b4169d516048328a657e7e9ad07727&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>구암 허준 선생의 학문적 업적을 기리고자 개관한 공립박물관입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이곳을 찾는 모든 분들께 유익하고, 친숙한 박물관, 다시 찾고 싶은</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>박물관이 되도록 최선을 다하겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준박물관 홈페이지를 찾아주신 여러분께 진심으로 감사의 말씀을 드립니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>구암 허준(1537~1615) 선생은 우리나라를 대표하는 의학자로서, 옛 양천현인 서울 강서구에서 태어나시고 돌아가셨습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준박물관은 허준 선생의 학문적 업적과 생애를 널리 기리고자, 서울 강서구에서 2005년 설립하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>그의 저서 &lt;동의보감&gt;은 의서로서는 최초로 유네스코 세계기록유산으로 등재되었고, 뒤이어 국보 제319호로 지정 되었습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준 선생의 각종 저서를 비롯한 한의서, 내의원과 한의원 재현, 다양한 약초와 약재들을 전시하고 있으며, 침을 놓아 보거나&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>약재를 직접 싸보는 등 한의학을 직접 체험해 볼 수 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;동의보감&gt;에 나오는 약초 120여종을 심어 놓은 약초원은 훌륭한 자연 체험학습장 역할을 하고 있으며, 서울에서 가장 전망&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>좋은 곳 중의 하나로 선정되기도 하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>올해 개관 11주년을 맞아 전시실 내부를 대폭 리모델링하여 여러분께 새롭게 선보입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>보다 많은 관심과 관람을 부탁드립니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>박물관은 과거와 현재 그리고 미래를 담는 그릇이라 하듯이, 과거의 자료들을 통해 현재를 잘 인식하고, 미래의 꿈을 키울 수 있는 곳입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>아울러 박물관의 중요한 역할인 수집, 연구, 전시, 체험, 교육 등을 통해 여러분께 유익한 지식의 터전이자 복합문화공간으로서 사명을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>다할 것이며, 이곳을 찾는 모든 분들께 유익하고, 친숙한 박물관, 다시 찾고 싶은 박물관이 되도록 최선을 다하겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>여러분을 허준박물관으로 초대합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>감사합니다!</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>- 허준박물관 관장 -</span></div>",무료,,,,,,,,강서구
M00004,박물관/기념관,은평역사한옥박물관,서울 은평구 연서로50길 8,37.64040,126.93806,02-351-8523~4,02-351-5833,http://museum.ep.go.kr,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9af7d7ca50754a1f985a52f40ecf56c5&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 12pt;'>은평역사한옥박물관은 은평의 역사와 한옥의 문화를 주제로 전시?교육?체험을 제공하는 문화공간입니다.</span></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>북한산 큰 숲에 위치한 은평은 역사적으로 조선시대 교통의 요지이자 집단 매장지로서 고유의 교통?통신문화와 장묘문화가 발달했습니다. 진관사 입구 현대식 한옥마을에 위치한 우리 박물관은 은평의 역사와 관련된 유물을 수집하고 이를 전시?교육하는 프로그램을 진행하고 있으며 이와 함께 한옥의 전통과 가치를 알리는 전시를 선보입니다. 그 밖에도 다채로운 기획전시와 교육 프로그램을 통해 다양한 문화 체험의 기회를 마련하고 있습니다.&nbsp;</span></p><p><br></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>2층 은평역사실 : 은평의 역과 참 그리고 왕래한 사람들의 이야기를 통해 주요 길목이었던 은평의 역사를 살펴보고, 뉴타운 개발 과정에서 출토된 발굴 유물과 더불어 다양한 지정문화재를 소개합니다.</span></p><p><br></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>3층 한옥전시실 : 전통과 현대가 어우러진 은평한옥마을의 특성을 살려 한옥의 역사와 현대 한옥의 요소를 살펴보고자 합니다. 한옥의 변천과 특징, 재료와 건축 과정을 통해 한옥의 지혜와 우수성을 살필 수 있습니다.</span></p>",유료,,,,,,,,은평구
M00005,박물관/기념관,서울상상나라,서울  광진구 능동로 216,37.55055,127.07757,02-6450-9500,02-6450-9540,www.seoulchildrensmuseum.org,오전 10시 ~ 오후 6시 (입장마감 오후 4시),36개월 이상 4천원,"매주 월요일, 1월 1일, 설날?추석연휴, 보수기간",2013년 05월 02일,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4462cabcd74c4d9a9fff66d4efeebf9f&thumb=Y,"36개월 미만, 국민기초수급생활자 및 자녀, 한부모가족, 장애인 및 동반성인 1인, 만 65세 이상, 서울시 다둥이 행복카드 소지자 중 세 자녀 이상 가족, 국가유공자/독립유공자 본인과 배우자 및 자녀 무료 (각각 해당 증빙서류 및 신분증 제시 시 무료입장권 발급)","<p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>서울상상나라는 어린이들이 놀이를 통해 체험하고 배우며 꿈과 행복을 키울 수 있도록 서울시가 어린이들을 위해 마련한 어린이 복합체험시설입니다.</span></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'><br></span></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>'행복을 디자인하는 어린이'를 주요 개념으로 특화된 체험전시를 통해 상상력을 촉진하고, 상호 존중의 소통 방법을 자연스럽게 배울 수 있습니다. 또, 연령별, 주제별로 특색 있고 다채로운 교육프로그램을 운영하고 있으며, 이를 통해 어린이와 가족의 건강하고 행복한 삶을 지원하기 위해 노력하고 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>지하 1층 감성놀이 공간에서는 익숙한 소리를 낯설고 새롭게 경험할 수 있습니다. 다양한 관점의 소리 경험을 통해 세상과 교감하고 소통할 수 있는 힘을 기를 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>지상 1층 자연놀이, 예술놀이, 공간놀이는 자연의 소중함을 느끼며 동물과 친구가 되는 법을 배우고, 예술 활동과 개성 있는 놀이 공간 연출을 통해 풍부한 자기 표현력과 감수성을 키울 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>2층 신체놀이, 상상놀이 전시 공간은 우주탐험 경기에 참가하여 도전정신을 기를 수 있는 활동체험 전시와 우주와 외계인에 대한 상상력과 호기심을 불러일으키는 전시로 구성되어 있습니다. 또, 36개월 미만의 영유아들을 위한 아기 놀이터와 독서놀이, 조작놀이를 즐길 수 있는 생각놀이터에서는 어린이 발달에 적합한 환경 속에서 온 가족이 편안히 놀며 정서적인 교감을 나눌 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>3층에는 문화놀이, 과학놀이 공간이 있어 미래의 여러 직업을 체험해 볼 수 있으며, 물과 바람으로 놀이하면서 자연스럽게 ‘흐름’에 대한 기초과학을 탐구할 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>전시장 체험 외에도 어린이와 가족을 위한 특별하고 즐거운 교육프로그램들을 운영하고 있습니다. 각 프로그램별 전문 교육실에서 창의예술, 오감?가족요리 프로그램 등을 통해 직접 만들고 체험하는 활동을 할 수 있습니다. 정기적으로 진행되는 심화프로그램에서는 일정 기간 동안 매주 선생님, 친구들과 함께 상상력과 창의력을 길러주는 즐거운 수업을 할 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 175%;'><br></p>",유료,,,,,,,,광진구
M00006,박물관/기념관,서대문자연사박물관,서울특별시 서대문구 연희로32길 51,37.57675,126.93786, 02-330-8899,02-330-1736,https://namu.sdm.go.kr/site/main/home,3~10월 09:00~18:00 | 11~2월 09:00~17:00,"어린이(5세~12세) : 1,000원 / 청소년(13세~18세) : 2,000원 / 어른 : 3,000원 /  65세이상, 4세이하, 장애인 : 무료","1월 1일, 설날, 추석, 매주 월요일(월요일이 공휴일인 경우 그 다음날)",2003.07.10,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b836d1af05ef46edaea157603ad39023&thumb=Y,"3월~10월 : 09:00~18:00 11월~2월 : 09:00~17:00 -토요일, 일요일, 공휴일은 1시간 연장 개관 -폐관시간 1시간 전까지 입장  서대문자연사박물관에서는 관람시설외에 다양한 활동을 하고 있습니다. 초등학생 대상으로 자연사 교육프로그램인 박물관교실, 체험교실, 박물관투어 등을 운영하고 있습니다.","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서대문자연사박물관의 전시물들은 시간의 흐름에 따라 전시되어 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>46억 년 전의 지구의 탄생부터 현재 자연이 처해있는 위기와 인간과 자연의 조화로운 공생을 주제로 하여 3개의 전시관으로 구성.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>3층 지구환경관은 지구의 탄생과 변천의 역사, 역동하는 지구내부, 지구를 구성하고 있는 여러 광물과 암석 등 지구에 대한 모든 것을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>주제로 하며, 2층 생명진화관은 생명의 탄생과 진화를 주제로 생명의 기원, 중생대 공룡의 세계, 포유류의 전성기와 인류의 출현, 그리고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현재 지구상에서 살고 있는 다양한 생물의 세계를 다룹니다. 1층 인간과 자연관은 인간과 자연의 조화로운 공생을 주제로 하는 곳입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>우리 인간 가까이에 있는 동식물, 한강의 상?중?하류에 사는 물고기를 볼수 있는 수족관, 한국의 산림생태를 사실적으로 보여주는 디오라마&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등으로 구성되었습니다. 이 외에 3층 공룡공원과 가상체험실, 시청각실, 열대어수족관, 교육실, 야외 공원 등의 시설물이 있습니다.</span></div>",유료,,,,,,,,서대문구
M00007,박물관/기념관,서울교육박물관,서울 종로구 북촌로5길 48 정독도서관,37.58127,126.98387,02-2011-5782,02-722-5707,https://edumuseum.sen.go.kr/edumuseum/index.do?getContextPath=,평일 09:00~18:00주말 09:00~17:00,무료,법정공휴일1/3주 수요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6703733b9b134e61a337c4d81cf91a8a&thumb=Y,,"<span style='font-size: 12pt;'>우리 나라 교육의 역사를 연구하고 사료를 수집하여 전시하는 정독도서관 부설 교육전문박물관이다. 박물관 건물은 우리 나라 중등교육의 발상지인 경성고등보통학교 건물이다.   전시관에는 삼국시대의 교육기관에서 현대에 이르는 교육관련 자료가 전통기, 개화기, 민족저항기, 미군정기, 교육과정기, 서울시교육청의 어제와 오늘로 나뉘어 전시되어 있다. 개화기의 교과서와 풍금, 일제시대의 통지표와 졸업앨범, 검정고무신, 몽당연필, 등사판, 무시험 추첨기, 양은 도시락 등의 물품을 비롯하여 8?15광복후 첫수업 모습, 콩나물교실, 얼룩무늬 교련복을 입은 고등학생 모습 등의 사진자료를 볼 수 있다.   소장품은 개화기 교과서 외 도서류 3,888점, 1910년대 학적부 외 기록문서류 3,411점, 교구류 228점, 1970년대 교복 등 복식 738점, 기타 400여 점 등 총 8,670점이다. 전시 외에 연 4회에 걸쳐 관람홍보와 초중고등학생을 대상으로 한 단체교육을 실시한다.</span>",무료,,,,,,,,종로구
M00008,박물관/기념관,서울역사박물관,서울  종로구 새문안로 55,37.57014,126.97044,02-724-0274~6,,www.museum.seoul.kr,"평일 : 09:00~21:00, 토,일, 공휴일 : 09:00~19:00(동절기 18:00)",무료(일부기획전과 대관전은 유료),"매주 월요일, 1월 1일, 단, 월요일이 공휴일인 경우 휴관하지 않음",2002.5.21,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=702652031e1d434d869fef533b8b628a&thumb=Y,,"<font face='돋움'>  </font><p align='left' class='MsoNormal' style='background: white; text-align: left; line-height: 1.8;'><font face='돋움'><span style='font-size: 12pt;'>서울을 찾는 내외국인에게 유서깊은 서울의 역사와 전통문화에 대한 이해와 인식을 높이고자 지난 2002년 설립되었으며 지하 1층~ 지상 3층 규모로 1층에는 기획전시실과 기증유물전시실, 뮤지엄샵, 어린이학습실, 강당 등이 있으며, 3층에는 옛 서울과 서울사람들의 생활, 고도성장기 서울 등 주제별로 구분 전시되고 있는 상설전시실과 서울 도시 전체를 1/1500로 축소한 도시모형영상관이 있다. 이 밖에도 옛 도구를 조작할 수 있는 체험공간과 영상을 통해 정보를 제공받을 수 있는 터치 뮤지엄, 멀티미디어를 통해 전시내용을 종합해 볼 수 있는 정보검색 코너 등도 운영하고 있다</span></font><br></p><font face='돋움'>  </font>",무료,,,,,,,,종로구
M00009,박물관/기념관,성북선잠박물관,서울특별시 성북구 성북로 96,37.59322,126.99824,02-744-0025,02-744-0023,http://museum.sb.go.kr,,,"매주 월요일(*월요일이 공휴일인 경우 그 다음날) 1월 1일, 설날,추석 연휴,성북구청장이 정하는 휴관일  ",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6032f7b78034400a1c5af7d003db801&thumb=Y,,"<p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>조선시대 서릉씨를 양잠의 신(蠶神)으로 모시고 제사를 지냈던 사적 제83호 선잠단지는 우리 조상들이 의생활에 대해 중요하게 인식했음을 상징하는 장소입니다.</span></p><p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>선잠단지와 연계하여 역사성과 상징성을 제고하고 자랑스런 역사 문화를 계승, 가치를 알리며 시민이 공유할 수 있는 문화공간 조성을 위해 건립되었습니다.</span></p><p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>1층은 '터를 찾다'라는 공간으로 선잠단의 발굴과 모습 등을 전시하였습니다. 2층은 '예를 다하다'라는 공간으로 선잠제와 친잠례에 관한 내용을 담고 있으며 3층은 '풍요를 바라다'라는 공간으로 개방형 수장고와 함께 양잠과 관련된 직조 도구들을 관람하실 수 있습니다. 현재 3층은 기획전시실로도 활용되어 많은 기획전시를 관람하실 수 있습니다.&nbsp;</span></p>",무료,,,,,,,,성북구
M00010,박물관/기념관,성북선잠박물관,서울특별시 성북구 성북로 96,37.59322,126.99824,02-744-0025,02-744-0023,http://museum.sb.go.kr,,,"매주 월요일(*월요일이 공휴일인 경우 그 다음날) 1월 1일, 설날,추석 연휴,성북구청장이 정하는 휴관일  ",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6032f7b78034400a1c5af7d003db801&thumb=Y,,"<p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>조선시대 서릉씨를 양잠의 신(蠶神)으로 모시고 제사를 지냈던 사적 제83호 선잠단지는 우리 조상들이 의생활에 대해 중요하게 인식했음을 상징하는 장소입니다.</span></p><p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>선잠단지와 연계하여 역사성과 상징성을 제고하고 자랑스런 역사 문화를 계승, 가치를 알리며 시민이 공유할 수 있는 문화공간 조성을 위해 건립되었습니다.</span></p><p class='tit' style='line-height: 1.8;'><span style='font-size: 12pt;'>1층은 '터를 찾다'라는 공간으로 선잠단의 발굴과 모습 등을 전시하였습니다. 2층은 '예를 다하다'라는 공간으로 선잠제와 친잠례에 관한 내용을 담고 있으며 3층은 '풍요를 바라다'라는 공간으로 개방형 수장고와 함께 양잠과 관련된 직조 도구들을 관람하실 수 있습니다. 현재 3층은 기획전시실로도 활용되어 많은 기획전시를 관람하실 수 있습니다.&nbsp;</span></p>",무료,,,,,,,,성북구
