,시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,소속구
1,용산역사박물관,공립,서울특별시 용산구 한강대로14길 35-29,,37.52557465,126.9656016,02-2199-4620,용산역사박물관,,,10:00,18:00,10:00,18:00,월요일+1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2023-12-07,3020000,서울특별시 용산구,용산구
2,국립한글박물관,국립,서울특별시 용산구 서빙고로 139,,37.52106997,126.9804843,02-2124-6200,국립한글박물관,,,10:00,18:00,10:00,18:00,1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2023-12-07,3020000,서울특별시 용산구,용산구
3,국회박물관,공립,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,37.53291197,126.9164039,02-6788-2269,국회사무처,https://memorial.assembly.go.kr,수유실+화장실,10:00,18:00,0:00,0:00,일+공휴일,0,0,0,,"임시의정원부터 현재까지의 국회 활동과 의회민주주의 관련 자료를 보관, 전시한 제1종국립박물관으로 1998년 건립되었던 헌정기념관이 24년만인 2022년에 개편공사를 통해 국회박물관으로 재탄생하였으며, 지하1층부터 지상3층에 걸쳐 국회체험관과 4개의 상설전시실, 어린이박물관 등으로 구성되어 있다.",9호선 국회의사당역 1번 출구로 나와 횡단보도 건너 국회 1문 또는 국회 7문 이용,02-6788-2865,국회사무처,2023-12-06,3180000,서울특별시 영등포구,영등포구
4,몽촌역사관,공립,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.5203397,127.1155179,02-2152-5900,서울특별시,http://baekjemuseum.seoul.go.kr,역사관,9:00,18:00,9:00,18:00,월+1월 1일,0,0,0,,청동기시대 움집·백제의 도읍이었던 풍납토성과 몽촌토성·삼국시대 고분군 등 문화유적과 유물을 주로 전시하고 있어 서울의 역사와 문화를 몸소 느끼고 체험할 수 있답니다.특히 몽촌역사관에서는 어린이들을 대상으로 한 다채로운 교육프로그램 및 문화행사를 운영하고 있습니다.,지하철 8호선 - 몽촌토성역 1번 출구 하차. 평화의 문 안으로 들어와서 도보로 20분,02-2152-5900,서울특별시,2023-01-11,3230000,서울특별시 송파구,송파구
5,국립중앙박물관,국립,서울특별시 용산구 서빙고로 137,,37.52470233,126.9777412,02-2077-9000,국립중앙박물관,,,10:00,18:00,10:00,18:00,1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2023-12-07,3020000,서울특별시 용산구,용산구
6,관세박물관,국립,서울특별시 강남구 언주로 721,,37.51830058,127.0337768,02-510-1082,관세박물관,,,9:30,18:00,0:00,0:00,공휴일,0,0,0,,,,02-3423-5948,서울특별시 강남구청,2023-03-27,3220000,서울특별시 강남구,강남구
7,서소문성지역사박물관,공립,서울특별시 중구 칠패로 5,서울특별시 중구 중림동 386,37.56056785,126.9688672,02-3147-2401,천주교 서울대교구,https://www.seosomun.org/main.do,,9:00,17:00,9:00,17:00,월+1월 1일+설 당일+추석 당일,0,0,0,,,,02-3396-4606,서울특별시 중구청,2023-03-13,3010000,서울특별시 중구,중구
8,허준박물관,공립,서울특별시 강서구 허준로 87,서울특별시 강서구 가양동 26-5,37.56787281,126.8510301,02-3661-8686,서울특별시 강서문화원,https://culture.gangseo.seoul.kr/,주차장(32대)+뮤지엄샵+카페테리아+약초원+수유실,10:00,18:00,10:00,17:00,매주 월요일+신정+설+추석,1000,500,500,1. 무료: 만6세이하+만65세이상+국가·독립유공자 등+장애인+다둥이행복카드소지자 2. 통합관람(겸재정선미술관+허준박물관): 어른(개인 1300원+단체 1000원) / 청소년(개인 700원+단체 500원),허준박물관은 2005.3.23. 개관하여허준 선생의 생애와 학문적 업적을 널리 기리고자관련 자료를 수집·연구·전시하는 한의학 복합 문화공간임,지하철9호선 가양역1번 출구(도보 10분) / 지하철5호선 발산역3번 출구→지선버스 6657 또는 6630 또는1002 탑승하여 탑산초.허준박물관역 하차,02-2600-6804,서울특별시 강서구청,2024-03-06,3150000,서울특별시 강서구,강서구
9,대한민국역사박물관,국립,서울특별시 종로구 세종대로 198,,37.57371361,126.9783394,02-3703-9200,대한민국역사박물관,,,10:00,18:00,10:00,18:00,1월1일+설 당일+추석 당일,0,0,0,,,,02-3703-9200,대한민국역사박물관,2023-10-10,1371000,문화체육관광부,종로구
10,국립한글박물관,국립,서울특별시 용산구 서빙고로 139,,37.5210688,126.9804863,02-2124-6223,국립한글박물관,,,10:00,18:00,10:00,18:00,1월1일+설 당일+추석 당일,0,0,0,,,,02-2124-6223,국립한글박물관,2023-10-10,1371000,문화체육관광부,용산구
11,국립극장 공연예술박물관,국립,서울특별시 중구 장충단로 59,,37.55199491,126.9992673,02-2280-5801,국립중앙극장,,,10:00,18:00,10:00,18:00,월+1월1일,0,0,0,,,,02-2280-5801,국립중앙극장,2023-10-10,1371000,문화체육관광부,중구
